country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM","11-09-2025 21:00:00",23.023389,72.515201,CO,6,72,15
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM","11-09-2025 21:00:00",23.076793,72.627874,PM2.5,13,50,27
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM","11-09-2025 21:00:00",23.076793,72.627874,CO,36,84,39
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB","11-09-2025 21:00:00",21.613267,73.010555,NO2,22,23,22
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB","11-09-2025 21:00:00",21.613267,73.010555,CO,20,58,30
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM","11-09-2025 21:00:00",23.163798,72.677768,PM10,44,114,68
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM","11-09-2025 21:00:00",23.243639,72.68994,NO2,3,10,5
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM","11-09-2025 21:00:00",23.243639,72.68994,CO,16,57,26
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM","11-09-2025 21:00:00",23.243639,72.68994,OZONE,1,13,8
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB","11-09-2025 21:00:00",23.221714,72.654328,NH3,2,3,3
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB","11-09-2025 21:00:00",23.221714,72.654328,OZONE,7,22,20
India,Gujarat,Nandesari,"GIDC, Nandesari - Nandesari Ind. Association","11-09-2025 21:00:00",22.410802,73.097923,NO2,NA,NA,NA
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB","11-09-2025 21:00:00",20.362421,72.918013,NH3,10,10,10
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB","11-09-2025 21:00:00",20.362421,72.918013,OZONE,2,2,2
India,Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IMD","11-09-2025 21:00:00",28.422681,77.148944,PM2.5,24,82,53
India,Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IMD","11-09-2025 21:00:00",28.422681,77.148944,NO2,7,15,13
India,Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IMD","11-09-2025 21:00:00",28.422681,77.148944,CO,34,48,39
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM","11-09-2025 21:00:00",28.3153,76.9143,PM10,45,97,62
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM","11-09-2025 21:00:00",28.3153,76.9143,NH3,3,27,8
India,Karnataka,Bengaluru,"BTM Layout, Bengaluru - CPCB","11-09-2025 21:00:00",12.9135218,77.5950804,SO2,19,20,19
India,Karnataka,Bengaluru,"BTM Layout, Bengaluru - CPCB","11-09-2025 21:00:00",12.9135218,77.5950804,CO,20,28,26
India,Karnataka,Bengaluru,"Bapuji Nagar, Bengaluru - KSPCB","11-09-2025 21:00:00",12.951913,77.539784,NO2,4,12,7
India,Karnataka,Bengaluru,"Bapuji Nagar, Bengaluru - KSPCB","11-09-2025 21:00:00",12.951913,77.539784,NH3,1,2,1
India,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB","11-09-2025 21:00:00",12.9756843,77.5660749,PM10,82,99,89
India,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB","11-09-2025 21:00:00",13.029152,77.585901,OZONE,6,26,13
India,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB","11-09-2025 21:00:00",12.938539,77.590100,PM2.5,4,37,21
India,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB","11-09-2025 21:00:00",12.938539,77.590100,PM10,16,65,41
